"dominance","variable","n","villages","weighted_mean"
0,"household_size",357,29,5.23231446113625
0,"education",357,29,5.2777181628262
0,"sc",357,29,0.405316739466629
0,"owned_acres",232,28,1.09072821566162
0,"landless",357,29,0.502520592364262
0,"buyer",208,28,0.749775992085782
0,"pump",226,28,0.121234682218263
0,"upper_population",357,29,33.6949225453584
1,"household_size",1009,60,5.57775228934034
1,"education",1009,60,6.19494317734171
1,"sc",1009,60,0.263824211505378
1,"owned_acres",694,59,1.57965817682568
1,"landless",1008,60,0.389610266751526
1,"buyer",647,59,0.823090411662754
1,"pump",658,59,0.261244663652395
1,"upper_population",1009,60,7.49395650294129
