"variable","adjustment","n","villages","n_low","n_high","mean_low","mean_high","difference","standard_error","lower","upper","p_value","p_holm"
"owns_land","unadjusted",1295,90,704,591,0.761363636363636,0.700507614213198,0.0608560221504382,0.043496828271167,-0.0255712491204533,0.14728329342133,0.165261174023434,0.495783522070301
"owns_land","district_and_caste",1295,90,704,591,0.761363636363636,0.700507614213198,0.0324207081905479,0.0382989280061637,-0.0436784459716239,0.10851986235272,0.399534607303641,0.799069214607282
"totland","unadjusted",1295,90,704,591,2.40228693249413,1.97131979408124,0.430967138412887,0.457509091974158,-0.478093682170224,1.340027958996,0.348749757611272,0.676297873856803
"totland","district_and_caste",1295,90,704,591,2.40228693249413,1.97131979408124,0.158361697036623,0.272658504683283,-0.383404944008294,0.70012833808154,0.56283907428558,0.799069214607282
"tenant","unadjusted",1295,90,704,591,0.232954545454545,0.272419627749577,-0.039465082295031,0.0409807269810573,-0.120892913896674,0.0419627493066122,0.338148936928401,0.676297873856803
"tenant","district_and_caste",1295,90,704,591,0.232954545454545,0.272419627749577,-0.0878671998984976,0.0421821681062909,-0.171682269424691,-0.00405213037230433,0.0401161266174438,0.199840341632889
"ownpump","unadjusted",1295,90,704,591,0.174715909090909,0.0896785109983081,0.085037398092598,0.0315822496342638,0.0222841407868258,0.14779065539837,0.0084715873766523,0.0338863495066092
"ownpump","district_and_caste",1295,90,704,591,0.174715909090909,0.0896785109983081,0.0379280415203056,0.0257561051420295,-0.0132487907791513,0.0891048738197625,0.144390814049336,0.433172442148009
"literate","unadjusted",1295,90,704,591,0.471590909090909,0.333333333333333,0.138257575757572,0.0380620383805951,0.0626291162355392,0.213886035279605,0.000468916517995073,0.00234458258997536
"literate","district_and_caste",1295,90,704,591,0.471590909090909,0.333333333333333,0.0919132788116614,0.044090956580527,0.00430548724529792,0.179521070378025,0.0399680683265778,0.199840341632889
