"group","linked","accounts","acres","coding","definition"
"obc",TRUE,1284800,1401845.97804634,"base","narrow"
"upper",TRUE,831118,1422446.37235748,"base","narrow"
"muslim",TRUE,195797,182958.026939797,"base","narrow"
"unknown",TRUE,1238541,1524879.60268932,"base","narrow"
"sc",TRUE,182709,119062.338742693,"base","narrow"
"unknown",FALSE,899290,1042159.46349448,"base","narrow"
"obc",FALSE,686704,778242.516084064,"base","narrow"
"muslim",FALSE,85910,82373.5938394987,"base","narrow"
"sc",FALSE,113808,77070.1775264956,"base","narrow"
"upper",FALSE,333300,591674.748125589,"base","narrow"
"st",TRUE,25786,25404.675742,"base","narrow"
"st",FALSE,9977,10642.3852155,"base","narrow"
"obc",TRUE,1924113,2231696.2357857,"base","broad"
"unknown",TRUE,1874575,2288897.30536873,"base","broad"
"muslim",TRUE,290707,279763.107136774,"base","broad"
"upper",TRUE,1231802,2299616.76929487,"base","broad"
"sc",TRUE,306547,201569.694063179,"base","broad"
"st",TRUE,43586,45725.5059630005,"base","broad"
"obc",FALSE,1023518,1185453.32419227,"base","broad"
"unknown",FALSE,1472486,1624728.73606567,"base","broad"
"sc",FALSE,185478,118488.379292583,"base","broad"
"muslim",FALSE,130468,128632.614369499,"base","broad"
"upper",FALSE,499337,936415.282686672,"base","broad"
"st",FALSE,18530,20921.9117205002,"base","broad"
"obc",TRUE,1308468,1431291.29928137,"curated","narrow"
"upper",TRUE,846149,1446626.43625748,"curated","narrow"
"muslim",TRUE,208487,192507.623991144,"curated","narrow"
"unknown",TRUE,1176189,1435480.95018384,"curated","narrow"
"sc",TRUE,182709,119062.338742693,"curated","narrow"
"unknown",FALSE,862696,984110.447289951,"curated","narrow"
"obc",FALSE,698604,795723.012829112,"curated","narrow"
"muslim",FALSE,93205,89404.809748998,"curated","narrow"
"sc",FALSE,113808,77070.1775264956,"curated","narrow"
"upper",FALSE,341686,605021.517175588,"curated","narrow"
"st",TRUE,36749,51628.3460610006,"curated","narrow"
"st",FALSE,18990,30832.9197155,"curated","narrow"
"obc",TRUE,1960948,2280125.39707779,"curated","broad"
"muslim",TRUE,311469,295991.212086126,"curated","broad"
"upper",TRUE,1252395,2335802.97242486,"curated","broad"
"unknown",TRUE,1779960,2146651.65855656,"curated","broad"
"sc",TRUE,306547,201569.694063179,"curated","broad"
"st",TRUE,60011,87127.6834040003,"curated","broad"
"obc",FALSE,1052057,1220650.18402234,"curated","broad"
"muslim",FALSE,141353,138237.763029,"curated","broad"
"unknown",FALSE,1405478,1526586.4748689,"curated","broad"
"sc",FALSE,185478,118488.379292583,"curated","broad"
"upper",FALSE,510038,953846.397036681,"curated","broad"
"st",FALSE,35413,56831.0500774996,"curated","broad"
