"definition","minimum_accounts","minimum_classified_share","villages","upper_majority","obc_majority","sc_majority","unresolved_majority"
"narrow",1,0,26626,7568,7545,188,10006
"narrow",1,0.9,12165,5677,4913,135,534
"narrow",25,0,20699,5984,5880,55,7769
"narrow",25,0.9,9318,4443,3653,36,507
"narrow",50,0,16929,4832,4795,32,6442
"narrow",50,0.9,7566,3588,2949,23,450
"narrow",100,0,11243,3113,3109,10,4442
"narrow",100,0.9,4904,2321,1849,6,344
"broad",1,0,28447,7952,8056,153,10918
"broad",1,0.9,12537,5876,5007,103,625
"broad",25,0,24860,7037,6995,77,9571
"broad",25,0.9,10829,5161,4228,45,611
"broad",50,0,21685,6049,6091,50,8479
"broad",50,0.9,9376,4440,3664,29,566
"broad",100,0,15771,4262,4366,19,6386
"broad",100,0.9,6706,3157,2574,11,466
