"group","threshold","classification","villages","coding","definition"
"upper",0.4,"above",8886,"base","narrow"
"upper",0.4,"at_or_below",7996,"base","narrow"
"upper",0.4,"unresolved",9744,"base","narrow"
"upper",0.5,"above",7444,"base","narrow"
"upper",0.5,"at_or_below",9793,"base","narrow"
"upper",0.5,"unresolved",9389,"base","narrow"
"upper",0.6,"above",6120,"base","narrow"
"upper",0.6,"at_or_below",11729,"base","narrow"
"upper",0.6,"unresolved",8777,"base","narrow"
"obc",0.4,"above",9104,"base","narrow"
"obc",0.4,"at_or_below",7874,"base","narrow"
"obc",0.4,"unresolved",9648,"base","narrow"
"obc",0.5,"above",7328,"base","narrow"
"obc",0.5,"at_or_below",9481,"base","narrow"
"obc",0.5,"unresolved",9817,"base","narrow"
"obc",0.6,"above",5785,"base","narrow"
"obc",0.6,"at_or_below",11228,"base","narrow"
"obc",0.6,"unresolved",9613,"base","narrow"
"sc",0.4,"above",257,"base","narrow"
"sc",0.4,"at_or_below",17666,"base","narrow"
"sc",0.4,"unresolved",8703,"base","narrow"
"sc",0.5,"above",188,"base","narrow"
"sc",0.5,"at_or_below",18925,"base","narrow"
"sc",0.5,"unresolved",7513,"base","narrow"
"sc",0.6,"above",145,"base","narrow"
"sc",0.6,"at_or_below",19986,"base","narrow"
"sc",0.6,"unresolved",6495,"base","narrow"
"st",0.4,"above",83,"base","narrow"
"st",0.4,"at_or_below",18286,"base","narrow"
"st",0.4,"unresolved",8257,"base","narrow"
"st",0.5,"above",68,"base","narrow"
"st",0.5,"at_or_below",19415,"base","narrow"
"st",0.5,"unresolved",7143,"base","narrow"
"st",0.6,"above",50,"base","narrow"
"st",0.6,"at_or_below",20370,"base","narrow"
"st",0.6,"unresolved",6206,"base","narrow"
"muslim",0.4,"above",810,"base","narrow"
"muslim",0.4,"at_or_below",17218,"base","narrow"
"muslim",0.4,"unresolved",8598,"base","narrow"
"muslim",0.5,"above",587,"base","narrow"
"muslim",0.5,"at_or_below",18499,"base","narrow"
"muslim",0.5,"unresolved",7540,"base","narrow"
"muslim",0.6,"above",442,"base","narrow"
"muslim",0.6,"at_or_below",19615,"base","narrow"
"muslim",0.6,"unresolved",6569,"base","narrow"
"upper",0.4,"above",9400,"base","broad"
"upper",0.4,"at_or_below",8521,"base","broad"
