"model","term","published_estimate","published_se"
"T3_1","literate",255,141.7
"T3_2","literate",294.9,115.4
"T3_3","literate",163.7,127.7
"T3_4","literate",297.4,158.3
"T3_5","literate",288.6,145.6
"T3_6","literate",224.4,104.4
"T3_1","totland",58.5,18.4
"T3_2","totland",52.7,18.1
"T3_3","totland",47.8,17.9
"T3_4","totland",55.9,19.6
"T3_5","totland",65.6,20.5
"T3_6","totland",50.9,15.6
"T3_1","domlow",566.5,209
"T3_2","domlow",393.3,191.6
"T3_3","domlow",387.2,161.8
"T3_4","domlow",505.6,198.6
"T3_5","domlow",668.5,254.9
"T3_6","domlow",371.3,167.6
"T4_1","domlow",346.2,196.2
"T4_2","domlow",-88,165.9
"T4_3","domlow",19,137.1
"T4_4","domlow",-162.1,186.3
"T4_5","domlow",48.1,175
"T4_6","domlow",654.4,245.9
"T4_7","domlow",740.7,259.7
"T4_1","ownpump",1119.6,260
"T4_2","ownpump",865.7,474.4
"T4_3","ownpump",755.8,497
"T4_4","ownpump",841,532.7
"T4_5","ownpump",703.3,524.1
"T4_1","buywater",318.1,127.9
"T4_2","buywater",-143,174.9
"T4_3","buywater",43.4,193
"T4_4","buywater",-233.9,171.7
"T4_5","buywater",-225.7,172.6
"T4_2","dlownpump",388.5,500.4
"T4_3","dlownpump",365.3,593.9
"T4_4","dlownpump",773.2,682
"T4_5","dlownpump",654.8,600.1
"T4_2","dlbuywater",850.9,275
"T4_3","dlbuywater",602.1,254.4
"T4_4","dlbuywater",980.7,333.9
"T4_5","dlbuywater",901.8,273.7
"T4_6","tenant",79.3,106.1
"T4_6","landlord",-324.2,173
"T4_7","bfrelsc",-234.8,125
"T4_7","bfhcast",-28.6,161
"T4_6","dltenant",-420.7,289
"T4_6","dllandlord",189.6,323.2
"T4_7","dlbfrelsc",-482.7,292.2
"T4_7","dlbfhcast",-542.5,318.7
"T5_IV","domlow",-1522.8,814.1
"T5_IV","buywater",202.1,931.6
"T5_IV","dlbuywater",3519.5,1413.7
